[2017-07-19 00:35:19] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 180.76.15.21 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 02:26:23] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 38.100.21.63 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 07:07:08] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 51.255.65.80 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 07:41:03] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 66.249.65.76 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 09:36:13] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 180.76.15.21 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 10:19:03] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 66.249.65.74 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 10:44:48] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 157.55.39.123 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 11:35:43] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 66.249.65.74 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 11:56:03] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 66.249.65.76 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 12:47:12] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 66.249.65.78 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 14:10:07] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 66.249.65.78 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 14:28:00] error.WARNING: "require_once(/home/carronet/vendor/edca/../../public_html/config/carroaluguel/routes.php): failed to open stream: No such file or directory | /home/carronet/vendor/edca/Route.php | 95 | 177.92.49.49 | / | GET" {"map":"[object] (Aura\\Router\\Map: {})","routes":null,"arr_crud":{"list":{"type":"get","params":"","url":""},"create":{"type":"get","params":"","url":"/create"},"store":{"type":"post","params":"","url":"/store"},"edit":{"type":"get","params":"/{id}","url":"/edit"},"update":{"type":"post","params":"/{id}","url":"/update"},"remove":{"type":"get","params":"/{id}","url":"/remove"},"find":{"type":"get","params":"","url":"/find"}}} []
[2017-07-19 14:28:00] error.WARNING: "require_once(/home/carronet/vendor/edca/../../public_html/config/carroaluguel/routes.php): failed to open stream: No such file or directory | /home/carronet/vendor/edca/Route.php | 95 | 177.92.49.49 | /favicon.ico | GET" {"map":"[object] (Aura\\Router\\Map: {})","routes":null,"arr_crud":{"list":{"type":"get","params":"","url":""},"create":{"type":"get","params":"","url":"/create"},"store":{"type":"post","params":"","url":"/store"},"edit":{"type":"get","params":"/{id}","url":"/edit"},"update":{"type":"post","params":"/{id}","url":"/update"},"remove":{"type":"get","params":"/{id}","url":"/remove"},"find":{"type":"get","params":"","url":"/find"}}} []
[2017-07-19 14:28:00] error.WARNING: "require_once(/home/carronet/vendor/edca/../../public_html/config/carroaluguel/routes.php): failed to open stream: No such file or directory | /home/carronet/vendor/edca/Route.php | 95 | 177.92.49.49 | /favicon.ico | GET" {"map":"[object] (Aura\\Router\\Map: {})","routes":null,"arr_crud":{"list":{"type":"get","params":"","url":""},"create":{"type":"get","params":"","url":"/create"},"store":{"type":"post","params":"","url":"/store"},"edit":{"type":"get","params":"/{id}","url":"/edit"},"update":{"type":"post","params":"/{id}","url":"/update"},"remove":{"type":"get","params":"/{id}","url":"/remove"},"find":{"type":"get","params":"","url":"/find"}}} []
[2017-07-19 14:29:40] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 177.92.49.49 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 14:29:42] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 177.92.49.49 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 14:29:45] error.NOTICE: "Undefined index: dadosPesquisa_modalCTA | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 19 | 177.92.49.49 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 14:48:22] error.NOTICE: "Array to string conversion | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 41 | 177.92.49.49 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
[2017-07-19 14:48:26] error.NOTICE: "Array to string conversion | /home/carronet/App/Controllers/carroaluguel/HomeCTRL.php | 41 | 177.92.49.49 | / | GET" {"request":"[object] (Zend\\Diactoros\\ServerRequest: {})"} []
